凤凰卫视,#genre#
凤凰资讯,http://39.135.55.7:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1&IASHttpSessionld=OTT
凤凰资讯,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,http://183.207.249.144/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
凤凰资讯,http://hkss3.phoenixtv.com:1935/fs/pic.stream/playlist.m3u8
凤凰资讯,http://iptv.tvfix.org/hls/fhzx.m3u8
凤凰资讯,http://anren.live/HK/AQtQ.m3u8
凤凰资讯,http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8
凤凰资讯,http://125.210.152.21:9090/live/FHZX.m3u8
凤凰资讯,http://117.169.120.138:8080/live/fhzixun/.m3u8
凤凰资讯,http://113.64.147.31:808/hls/33/index.m3u8?times=0
凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8?zgangd
凤凰资讯,http://124.232.233.15:6610/000000001001/201500000231/index.m3u8?IAShttpSessionId=SLB2046220190906022827233263&m3u8_level=2
凤凰资讯,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
凤凰资讯,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰资讯,http://ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰资讯,http://ott.js.chinamobile.com/TVOD/3/224/3221228098/index.m3u8
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
凤凰资讯,http://223.110.245.136/PLTV/3/224/3221226923/index.m3u8
凤凰资讯,http://v.mp.haue.edu.cn/hls/fhzx.m3u8
凤凰资讯,http://111.13.42.10/PLTV/88888888/224/3221225949/1.m3u8
凤凰中文,http://39.135.55.7:6610/PLTV/88888888/224/3221227222/1ndex.m3u8?servicetype=1&IASHttpSessionld=OTT&IASHttpSessionId=OTT3514020220406143948025713?zgangd
凤凰中文,http://39.135.55.7:6610/PLTV/88888888/224/3221227222/1ndex.m3u8?servicetype=1&IASHttpSessionld=OTT?zgangd
凤凰中文,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://124.232.233.15:6610/000000001001/201500000230/index.m3u8?IAShttpSessionId=SLB2046220190906022827233263&m3u8_level=2
